	young	middle	old
YDR079W	42.404	60.377	64.826
YDR080W	12.46	15.158	10.981
YDR081C	14.913	31.281	21.524
YDR083W	33.031	11.876	16.955
YDR084C	76.373	55.158	43.061
YDR085C	3.948	47.307	37.641
YDR086C	701.81	334.245	351.371
YDR087C	61.654	19.635	15.949
YDR088C	11.891	18.972	18.353
YDR089W	22.294	11.924	13.77
YDR090C	14.274	29.744	26.256
YDR091C	130.098	40.383	47.298
YDR092W	132.743	139.068	175.559
YDR093W	17.958	8.02	7.423
YDR096W	17.69	46.083	60.116
YDR097C	22.835	16.781	15.299
YDR098C	166.743	114.463	95.004
YDR099W	715.643	860.305	737.862
YDR100W	118.898	51.412	72.224
YDR101C	58.834	21.931	27.989
YDR104C	2.938	6.465	5.064
YDR105C	28.631	29.625	41.688
YDR107C	23.912	15.189	9.93
YDR108W	9.628	8.953	14.505
YDR109C	7.741	10.115	8.289
YDR110W	12.631	11.772	10.87
YDR113C	31.272	21.272	22.128
YDR115W	99.625	128.535	110.584
YDR116C	48.097	41.952	42.094
YDR117C	34.35	16.577	14.496
YDR119W	50.085	18.595	14.791
YDR119W-A	27.514	828.319	412.584
YDR120C	41.877	28.757	21.739
YDR121W	34.491	48.033	45.465
YDR122W	23.312	37.101	41.496
YDR123C	16.693	12.887	14.506
YDR127W	136.465	73.673	112.262
YDR128W	9.139	10.467	12.496
YDR129C	318.289	171.665	156.461
YDR130C	14.048	19.087	18.735
YDR131C	5.63	6.4	9.061
YDR134C	768.748	284.953	204.642
YDR135C	37.09	24.84	27.028
YDR137W	11.349	14.61	15.525
YDR138W	13.061	11.543	15.491
YDR140W	18.33	22.729	22.172
YDR141C	18.694	12.895	14.605
YDR142C	9.202	13.007	22.141
YDR143C	21.922	20.32	22.319
YDR144C	37.115	7.624	8.62
YDR145W	42.322	32.877	37.876
YDR146C	33.305	11.708	15.217
YDR147W	19.595	11.103	9.504
YDR148C	150.834	845.45	753.196
YDR150W	20.036	25.367	25.186
YDR151C	38.482	70.987	84.721
YDR152W	48.129	31.413	31.045
YDR153C	57.368	98.345	96.982
YDR155C	3717.461	4249.785	5458.271
YDR156W	134.215	96.168	87.141
YDR158W	689.136	323.458	578.527
YDR159W	6.523	5.823	4.345
YDR161W	52.652	32.451	33.38
YDR162C	26.246	41.554	30.53
YDR163W	19.312	36.042	33.242
YDR164C	17.051	11.173	9.86
YDR165W	56.438	17.1	14.22
YDR166C	17.269	18.77	15.927
YDR167W	54.63	61.272	51.706
YDR168W	124.131	130.298	132.178
YDR169C	27.52	69.929	70.177
YDR170C	55.45	26.546	30.678
YDR171W	75.688	486.324	685.713
YDR172W	267.479	110.039	113.668
YDR173C	17.995	42.723	28.225
YDR174W	232.904	184.782	134.255
YDR175C	43.46	41.005	46.219
YDR176W	15.184	11.06	10.397
YDR177W	162.97	161.319	168.816
YDR178W	159.532	534.726	587.368
YDR179W-A	5.006	5.533	5.743
YDR180W	7.861	6.447	4.301
YDR181C	12.808	12.317	14.291
YDR182W	41.201	33.94	29.607
YDR183W	12.718	26.88	14.849
YDR184C	20.766	12.045	12.326
YDR185C	8.75	24.344	31.87
YDR186C	21.094	42.957	36.927
YDR188W	235.641	90.106	82.956
YDR189W	50.064	26.243	34.538
YDR190C	112.274	68.178	63.487
YDR191W	8.761	15.255	10.912
YDR192C	22.876	26.096	27.318
YDR194C	51.349	28.109	24.413
YDR195W	17.47	27.547	31.475
YDR196C	36.272	32.732	39.552
YDR197W	11.586	14.782	13.658
YDR198C	8.715	12.463	18.469
YDR200C	11.585	12.749	10.518
YDR201W	29.786	16.514	15.432
YDR202C	18.004	19.195	20.093
YDR204W	38.468	38.922	45.636
YDR205W	13.561	18.193	13.257
YDR206W	12.457	8.921	12.119
YDR207C	18.886	15.588	13.852
YDR208W	24.15	48.752	46.786
YDR210W	252.865	136.103	113.487
YDR211W	71.959	30.512	29.551
YDR212W	186.048	79.48	78.5
YDR213W	9.461	14.462	9.73
YDR214W	183.365	224.139	251.158
YDR216W	20.727	106.922	135.911
YDR217C	8.773	9.324	6.202
YDR219C	21.791	47.495	38.441
YDR221W	20.651	20.334	26.159
YDR222W	33.065	85.833	140.432
YDR224C	1345.463	1951.663	2215.051
YDR225W	1696.105	2312.673	2607.862
YDR226W	1071.556	718.867	785.585
YDR227W	8.64	5.822	10.286
YDR228C	17.643	26.82	28.897
YDR229W	21.127	31.232	34.404
YDR231C	44.325	83.532	102.169
YDR232W	105.548	99.501	108.54
YDR233C	555.805	542.792	694.162
YDR234W	60.352	29.514	42.753
YDR235W	10.846	19.003	9.675
YDR236C	25.701	31.713	38.851
YDR237W	46.733	32.661	21.765
YDR238C	137.558	73.282	78.457
YDR239C	9.05	15.161	10.839
YDR240C	12.347	12.34	7.629
YDR243C	12.226	11.96	9.242
YDR244W	23.868	44.856	35.449
YDR245W	50.387	28.662	34.671
YDR246W	33.967	52.456	57.851
YDR247W	13.44	90.614	84.476
YDR248C	32.6	32.9	24.589
YDR249C	3.635	9.65	6.239
YDR251W	21.811	27.474	27.003
YDR254W	6.739	5.264	4.733
YDR255C	8.495	29.504	31.217
YDR257C	21.649	6.077	8.897
YDR258C	97.873	397.226	455.77
YDR260C	26.12	12.381	19.912
YDR261C	40.227	10.993	9.206
YDR262W	45.183	378.774	389.523
YDR264C	47.439	75.36	77.837
YDR266C	36.596	17.238	18.582
YDR268W	21.751	11.757	10.989
YDR270W	18.355	89.18	94.267
YDR272W	95.252	110.726	135.711
YDR275W	6.197	39.006	61.905
YDR276C	1323.132	5102.892	6981.67
YDR277C	11.685	59.457	40.074
YDR279W	20.697	15.798	17.757
YDR280W	37.157	31.018	28.594
YDR282C	8.166	9.738	7.494
YDR283C	10.879	10.247	10.558
YDR284C	68.682	61.764	69.955
YDR286C	33.614	30.818	36.562
YDR287W	17.838	23.406	35.219
YDR288W	18.286	18.009	13.806
YDR289C	21.562	30.2	29.587
YDR291W	5.555	4.292	6.943
YDR292C	35.254	17.52	17.012
YDR293C	54.808	58.377	73.242
YDR294C	53.565	65.646	65.228
YDR295C	12.985	13.512	14.054
YDR296W	57.661	43.921	35.07
YDR297W	68.082	75.78	59.073
YDR298C	259.221	837.132	642.682
YDR299W	30.958	19.822	24.093
YDR300C	46.41	33.862	22.214
YDR301W	14.176	8.872	5.634
YDR302W	45.084	28.371	25.181
YDR303C	26.258	17.737	21.403
YDR304C	240.553	151.338	203.297
YDR305C	28.761	26.106	33.056
YDR306C	9.913	16.318	21.837
YDR307W	21.595	17.488	15.534
YDR308C	39.003	14.943	20.92
YDR309C	51.982	35.548	41.632
YDR310C	17.181	12.31	11.582
YDR311W	20.085	10.814	12.065
YDR312W	13.952	11.151	10.857
YDR313C	11.829	83.197	100.89
YDR316W	10.643	15.268	9.934
YDR319C	9.71	15.242	16.251
YDR320C	22.282	16.895	20.53
YDR320C-A	67.822	73.571	95.004
YDR321W	201.792	49.71	41.911
YDR322C-A	167.989	515.971	424.947
YDR322W	37.162	37.386	29.739
YDR324C	39.447	14.7	10.508
YDR325W	12.628	5.509	6.429
YDR326C	19.917	12.814	12.295
YDR328C	211.433	154.685	187.946
YDR329C	23.166	35.358	41.403
YDR330W	28.79	34.29	43.009
YDR331W	40.644	28.804	29.022
YDR333C	23.361	20.812	25.421
YDR334W	5.682	6.746	6.793
YDR335W	33.213	27.5	22.25
YDR337W	48.363	28.482	35.069
YDR338C	8.338	22.196	21.285
YDR339C	57.521	45.707	41.294
YDR341C	238.6	89.104	121.144
YDR345C	418.72	67.03	62.324
YDR346C	97.165	72.712	60.98
YDR347W	39.482	21.965	30.11
YDR348C	42.28	49.152	41.443
YDR349C	21.233	19.443	22.132
YDR350C	4.629	6.264	7.818
YDR351W	16.326	20.54	19.096
YDR352W	24.877	46.474	28.131
YDR353W	639.48	261.888	266.428
YDR354W	48.928	29.172	39.131
YDR356W	17.559	10.751	13.2
YDR357C	39.519	80.187	63.405
YDR358W	24.312	85.907	83.09
YDR359C	9.145	10.564	11.255
YDR361C	65.244	40.098	47.081
YDR362C	9.488	7.958	11.138
YDR363W	9.098	15.83	9.515
YDR363W-A	294.442	316.612	304.261
YDR364C	11.675	12.375	10.035
YDR365C	53.387	30.294	21.981
YDR365W-A	17.38	11.517	13.619
YDR366C	26.658	45.828	18.818
YDR367W	55.253	30.544	12.4
YDR368W	202.908	145.19	161.681
YDR369C	6.152	4.556	6.193
YDR370C	9.951	4.085	3.602
YDR372C	82.112	82.747	76.699
YDR373W	76.234	127.826	139.188
YDR374W-A	31.83	46.738	53.326
YDR376W	22.834	12.733	18.367
YDR377W	434.917	1458.941	1229.195
YDR378C	171.867	151.532	125.888
YDR379C-A	47.335	88.927	119.612
YDR379W	7.99	14.679	14.029
YDR380W	8.216	22.985	39.045
YDR381C-A	24.873	33.407	27.627
YDR381W	512.403	169.504	188.907
YDR382W	3802.961	1250.949	1446.226
YDR384C	58.557	15.695	14.889
YDR385W	1467.245	829.111	742.985
YDR388W	168.406	125.537	135.509
YDR389W	17.061	26.934	25.475
YDR390C	32.416	21.615	20.713
YDR391C	19.833	29.818	23.6
YDR392W	19.295	19.611	21.9
YDR393W	8.429	8.035	6.874
YDR394W	124.257	120.748	116.471
YDR395W	76.087	33.257	41.431
YDR397C	45.306	65.681	63.764
YDR398W	37.357	14.572	10.962
YDR399W	99.441	59.966	48.35
YDR404C	70.001	33.49	35.16
YDR405W	39.355	57.592	42.9
YDR406W	7.924	7.358	7.073
YDR407C	12.624	8.252	9.474
YDR408C	79.372	46.708	45.084
YDR409W	8.685	16.116	12.024
YDR410C	13.189	6.315	7.868
YDR411C	51.009	47.191	47.801
YDR412W	42.149	20.093	19.013
YDR414C	12.54	11.292	9.317
YDR415C	25.636	18.498	19.955
YDR416W	9.331	9.26	11.271
YDR418W	2157.056	1204.8	1331.371
YDR419W	5.735	10.337	8.227
YDR420W	5.532	9.371	8.401
YDR421W	7.18	10.387	11.003
YDR422C	17.648	25.689	29.108
YDR423C	21.235	50.187	38.78
YDR424C	90.175	68.199	65.573
YDR425W	11.842	25.183	24.504
YDR427W	107.29	92.198	133.152
YDR428C	23.553	11.858	14.471
YDR429C	224.005	116.648	99.836
YDR430C	25.113	15.84	16.566
YDR432W	506.753	318.433	235.532
YDR434W	38.028	28.449	28.588
YDR435C	22.062	21.607	24.6
YDR436W	13.265	17.777	24.28
YDR437W	15.751	31.381	23.879
YDR439W	5.07	4.732	6.152
YDR440W	9.955	7.781	6.071
YDR441C	27.474	28.517	28.659
YDR443C	6.999	9.56	10.083
YDR444W	7.894	5.528	3.857
YDR447C	1553.31	704.029	866.791
YDR448W	21.396	9.734	14.975
YDR449C	35.254	26.796	22.287
YDR450W	2064.269	946.253	883.051
YDR451C	61.359	16.599	12.748
YDR452W	35.94	29.312	32.76
YDR453C	10.016	23.507	30.659
YDR454C	517.498	170.913	126.817
YDR456W	35.507	53.786	53.68
YDR457W	22.356	13.715	15.437
YDR458C	17.08	15.666	17.947
YDR460W	17.688	32.625	31.548
YDR461C-A	57.645	193.868	124.39
YDR462W	77.234	96.928	119.067
YDR463W	54.463	60.634	55.924
YDR464W	9.742	14.268	11.922
YDR465C	35.515	15.823	8.513
YDR466W	12.324	15.294	13.02
YDR468C	41.183	39.686	39.848
YDR469W	32.866	43.499	39.411
YDR470C	21.283	33.391	35.778
YDR471W	977.201	349.825	376.892
YDR472W	31.927	19.923	29.822
YDR473C	9.031	12.567	18.137
YDR475C	10.296	21.683	30.88
YDR476C	54.956	102.951	101.573
YDR477W	54.775	62.545	73.485
YDR478W	12.053	16.302	13.753
YDR479C	12.43	30.627	31.309
YDR480W	25.24	17.499	14.132
YDR481C	95.986	94.683	98.454
YDR482C	21.206	23.453	32.171
YDR483W	165.209	215.278	202.627
YDR484W	10.675	16.182	15.788
YDR485C	11.563	26.765	31.442
YDR486C	52.46	131.134	102.687
YDR487C	169.901	74.643	86.063
YDR489W	15.825	6.611	4.112
YDR490C	16.12	13.521	16.053
YDR492W	33.334	48.381	29.211
YDR493W	61.006	33.237	46.267
YDR494W	29.307	33.369	30.891
YDR495C	8.975	7.443	10.288
YDR496C	54.601	28.595	33.167
YDR497C	338.908	113.364	108.424
YDR498C	15.358	10.853	10.988
YDR499W	6.486	10.268	6.264
YDR500C	1726.283	733.454	887.329
YDR502C	1247.262	424.5	353.707
YDR505C	33.266	93.734	92.65
YDR506C	11.374	8.876	8.079
YDR507C	30.125	14.499	10.028
YDR508C	152.055	19.941	19.948
YDR510W	746.567	410.006	424.23
YDR511W	56.208	41.774	40.48
YDR512C	58.19	50.322	53.782
YDR513W	345.334	660.41	503.627
YDR514C	15.605	8.695	12.973
YDR515W	24.825	32.557	26.407
YDR516C	91.238	94.192	53.99
YDR517W	65.806	42.727	36.866
YDR518W	46.937	12.427	8.881
YDR519W	106.404	64.277	69.198
YDR520C	7.182	10.881	9.936
YDR524C	9.447	24.864	23.317
YDR524C-B	11554.085	8981.897	9934.014
YDR524W-C	36.162	2337.445	2636.02
YDR525W-A	147.343	758.19	917.886
YDR527W	38.268	30.843	30.024
YDR528W	12.904	7.826	5.001
YDR529C	321.442	1495.87	1146.4
YDR530C	20.523	32.887	42.113
YDR531W	33.917	18.748	17.492
YDR532C	10.755	17.246	14.106
YDR533C	77.837	470.532	303.244
YDR534C	4.998	42.981	56.012
YDR536W	6.122	77.462	93.873
YDR539W	23.649	22.759	24.408
YDR545W	4.11	3.138	4.714
YEL001C	157.103	73.72	60.125
YEL002C	157.594	98.465	101.074
YEL003W	102.807	46.499	56.141
YEL006W	15.061	24.139	12.8
YEL007W	38.795	45.396	36.906
YEL009C	49.273	226.349	502.006
YEL011W	25.288	121.851	105.068
YEL012W	31.661	167.811	133.998
YEL013W	82.398	69.853	72.048
YEL015W	45.629	31.751	28.596
YEL016C	8.585	6.267	7.177
YEL017C-A	1150.837	2137.255	2415.787
YEL017W	59.346	23.449	17.716
YEL018W	18.194	14.772	11.916
YEL019C	9.82	13.636	13.217
YEL020C	7.582	22.754	25.69
YEL020W-A	129.859	39.276	60.566
YEL022W	26.421	14.298	11.844
YEL024W	157.078	1234.305	782.793
YEL025C	4.223	2.399	2.556
YEL026W	727.276	250.367	202.421
YEL027W	1376.761	1139.027	1389.693
YEL029C	16.181	13.71	17.733
YEL031W	116.794	51.153	49.965
YEL032W	32.201	22.36	21.291
YEL034W	5431.172	3117.641	3497.669
YEL036C	39.195	23.889	22.557
YEL037C	177.415	102.908	111.845
YEL038W	60.623	56.733	56.169
YEL039C	33.918	1803.985	395.4
YEL040W	190.225	45.176	46.7
YEL041W	4.256	5.949	6.318
YEL042W	123.43	54.133	57.752
YEL043W	15.465	13.282	13.504
YEL044W	62.501	40.154	46.018
YEL046C	355.807	267.334	313.128
YEL047C	108.191	71.721	67.202
YEL050C	37.495	30.937	30.601
YEL051W	279.522	146.032	151.172
YEL052W	30.091	16.429	16.008
YEL053C	10.712	6.629	5.166
YEL054C	1383.984	540.084	492.074
YEL055C	47.332	21.363	21.713
YEL056W	30.192	21.657	27.879
YEL058W	67.026	40.371	52.227
YEL060C	209.708	3368.098	3721.736
YEL061C	13.689	7.708	9.112
YEL062W	12.311	10.748	12.187
YEL063C	59.988	52.396	71.85
YEL065W	62.199	344.493	304.184
YEL066W	48.086	26.906	29.522
YEL071W	440.478	257.259	234.874
YEL072W	10.911	14.294	10.848
YEL073C	49.655	33.799	19.779
YER001W	69.297	22.601	24.742
YER002W	72.856	95.118	61.435
YER003C	368.946	119.262	90.696
YER004W	127.02	178.907	196.833
YER005W	12.26	8.492	5.571
YER006W	87.725	61.07	63.152
YER007C-A	204.479	124.017	101.705
YER007W	5.407	9.123	6.522
YER008C	13.803	18.939	20.734
YER009W	929.38	455.291	527.889
YER010C	36.674	33.204	52.354
YER012W	212.849	166.061	182.204
YER013W	10.536	15.845	14.223
YER014W	18.892	11.14	7.9
YER016W	31.101	19.232	12.012
YER017C	28.24	39.072	49.774
YER019C-A	550.716	188.733	230.971
YER019W	33.916	14.408	21.08
YER020W	31.367	109.34	126.732
YER021W	139.881	120.105	108.751
YER022W	20.544	18.517	20.187
YER023W	428.474	115.827	137.354
YER024W	11.392	164.004	228.063
YER025W	325.956	137.381	127.701
YER026C	433.391	240.714	186.959
YER027C	85.45	40.522	45.898
YER029C	36.342	22.029	19.405
YER030W	115.88	62.303	68.107
YER031C	188.188	48.14	69.654
YER032W	13.188	3.145	3.941
YER033C	6.678	18.938	13.483
YER034W	34.179	43.856	43.501
YER035W	118.713	1344.692	1296.625
YER036C	346.156	123.845	138.822
YER037W	57.858	253.805	233.785
YER040W	13.391	13.895	23.879
YER042W	147.523	291.013	234.769
YER043C	1583.013	552.923	444.565
YER044C	80.844	132.761	110.969
YER045C	5.256	23.936	22.979
YER046W	9.856	25.743	28.64
YER047C	10.129	15.486	21.173
YER048C	128.859	98.7	88.91
YER048W-A	113.563	159.194	159.869
YER049W	72.809	31.812	35.571
YER050C	91.152	119.858	111.95
YER051W	5.954	17.935	11.726
YER052C	153.228	174.685	290.544
YER053C	30.926	640.905	394.991
YER053C-A	137.173	9882.766	6212.926
YER055C	313.814	94.179	136.655
YER056C	113.711	128.896	108.17
YER056C-A	1672.222	670.562	673.7
YER057C	452.612	418.706	465.307
YER059W	31.837	26.378	27.124
YER061C	11.431	14.219	14.206
YER062C	286.621	162.214	133.395
YER063W	128.558	53.384	63.62
YER064C	58.98	58.531	38.108
YER065C	79.704	2309.312	2671.067
YER067W	98.505	2180.131	986.591
YER068W	52.375	69.515	73.031
YER069W	55.658	111.937	191.938
YER070W	186.974	65.786	76.53
YER071C	41.692	46.412	64.774
YER072W	1120.894	474.381	353.695
YER073W	120.247	65.98	237.12
YER074W	2618.95	1363.784	1403.816
YER074W-A	152.169	100.124	81.829
YER075C	13.245	40.256	30.918
YER076C	5.29	5.133	3.683
YER077C	9.715	9.118	11.808
YER078C	15.989	9.458	9.303
YER079W	29.498	141.129	173.456
YER080W	71.051	60.383	66.434
YER081W	13.012	31.082	45.554
YER082C	31.288	21.13	22.796
YER083C	98.815	36.344	35.32
YER086W	140.613	78.434	110.038
YER087C-B	263.422	112.34	133.355
YER087W	14.813	8.918	8.847
YER088C	95.129	76.591	79.053
YER089C	77.339	28.954	42.042
YER090W	163.249	74.195	84.612
YER091C	4008.368	1328.079	1455.085
YER092W	61.536	94.923	60.769
YER093C	4.164	5.92	5.559
YER094C	225.571	217.71	210.925
YER095W	65.433	73.519	52.929
YER098W	4.952	12.43	17.083
YER099C	53.421	50.196	50.175
YER100W	114.181	121.958	106.859
YER101C	15.826	52.049	47.692
YER102W	1518.861	718.629	753.028
YER103W	29.475	687.156	787.23
YER104W	15.562	39.368	21.718
YER105C	28.437	17.12	18.27
YER107C	45.955	20.837	25.879
YER110C	238.202	111.908	109.276
YER111C	12.979	11.354	10.396
YER112W	73.238	71.378	66.292
YER113C	14.641	3.8	9.642
YER114C	29.669	31.972	33.189
YER116C	14.027	34.297	39.224
YER117W	2903.891	1566.721	1647.807
YER118C	38.4	13.119	17.44
YER119C	40.46	45.117	40.657
YER120W	578.642	210.255	215.453
YER122C	131.279	57.738	73.192
YER123W	24.95	18.385	21.16
YER124C	130.992	42.751	38.151
YER125W	93.65	97.912	80.472
YER126C	115.155	46.614	57.258
YER127W	37.285	18.834	19.084
YER129W	7.611	10.492	9.918
YER130C	25.123	124.695	137.567
YER131W	1184.847	324.634	337.923
YER132C	5.164	6.891	7.017
YER133W	257.794	325.564	295.101
YER134C	69.041	51.193	63.926
YER136W	130.4	137.592	121.195
YER137C-A	17.38	11.517	13.619
YER138C	23.566	12.955	23.548
YER138W-A	42.917	138.715	97.474
YER139C	14.482	36.91	26.5
YER140W	5.363	6.043	7.384
YER141W	69.002	97.503	75.46
YER142C	16.687	21.775	19.166
YER143W	42.151	66.038	64.597
YER144C	7.248	14.454	13.692
YER145C	249.428	428.1	461.213
YER146W	238.159	92.236	68.854
YER147C	8.844	11.901	21.273
YER148W	103.425	78.582	71.627
YER150W	45.413	3769.141	1845.571
YER151C	46.075	34.896	37.491
YER152C	34.317	23.922	17.977
YER153C	12.14	15.481	24.706
YER154W	42.635	33.643	29.214
YER155C	24.043	15.306	16.252
YER156C	128.286	33.768	30.981
YER157W	18.125	9.758	14.867
YER158C	10.298	31.999	39.242
YER159C	65.06	131.008	111.12
YER161C	20.493	37.718	38.571
YER162C	8.05	19.896	22.176
YER163C	36.496	23.47	33.971
YER164W	25.666	19.864	21.494
YER165W	940.182	435.78	428.129
YER166W	28.67	26.132	24.292
YER167W	15.905	34.815	29.869
YER168C	31.47	30.635	32.647
YER169W	12.228	33.296	39.179
YER170W	27.293	35.72	23.789
YER171W	15.573	13.889	11.738
YER172C	12.25	9.711	9.239
YER173W	3.286	4.977	3.969
YER174C	42.853	5.511	5.952
YER175C	25.011	122.488	262.359
YER176W	13.731	4.723	4.027
YER177W	1402.622	1132.065	1444.892
YER178W	602.749	380.558	429.177
YER180C-A	22.527	62.713	58.914
YER182W	22.171	27.262	25.485
YER183C	32.578	18.881	21.127
YFL001W	16.454	8.89	11.51
YFL002C	21.976	12.713	14.339
YFL004W	124.091	57.638	48.991
YFL005W	246.793	246.316	215.746
YFL007W	21.317	19.195	20.279
YFL008W	17.691	15.258	10.097
YFL009W	30.763	28.131	27.621
YFL010C	389.201	223.642	256.267
YFL010W-A	87.605	156.671	243.808
YFL013C	18.701	26.34	27.342
YFL014W	549.569	5711.75	7179.582
YFL016C	62.105	115.907	121.374
YFL017W-A	114.801	68.158	34.817
YFL018C	261.1	414.968	442.904
YFL021W	39.883	101.883	137.845
YFL022C	314.151	103.779	133.59
YFL023W	17.617	13.049	14.329
YFL024C	10.421	12.986	12.269
YFL025C	9.616	11.615	10.306
YFL027C	5.941	9.019	10.427
YFL028C	51.805	32.195	41.87
YFL030W	7.945	161.145	158.406
YFL031W	33.07	21.86	47.413
YFL033C	9.453	9.953	12.545
YFL034C-A	237.954	137.728	156.883
YFL034C-B	36.843	17.128	28.231
YFL034W	11.602	13.094	9.728
YFL036W	25.174	22.55	25.682
YFL037W	369.904	119.68	124.693
YFL038C	485.552	385.054	344.91
YFL039C	1855.849	1886.554	2041.011
YFL041W	41.334	106.454	112.83
YFL042C	17.788	23.71	20.301
YFL044C	33.845	59.253	64.79
YFL045C	886.637	290.412	273.211
YFL047W	13.38	8.243	11.186
YFL048C	83.112	58.895	65.125
YFL049W	15.275	15.544	12.541
YFL055W	5.085	15.192	10.462
YFR001W	42.449	29.373	22.274
YFR002W	33.396	30.991	33.659
YFR003C	77.555	83.001	62.483
YFR004W	149.761	228.213	171.36
YFR005C	16.032	7.03	6.076
YFR006W	70.117	27.299	18.123
YFR007W	11.653	8.146	7.574
YFR008W	16.087	38.467	23.043
YFR009W	108.054	45.636	49.397
YFR010W	97.06	104.225	103.2
YFR011C	88.209	127.969	104.297
YFR013W	18.243	15.481	17.494
YFR014C	28.1	49.919	52.345
YFR015C	28.263	21.087	13.263
YFR016C	17.272	23.089	24.329
YFR017C	18.18	416.411	286.889
YFR018C	15.926	10.335	13.445
YFR019W	9.864	11.149	11.178
YFR021W	24.115	13.087	16.955
YFR024C-A	99.508	81.985	78.271
YFR025C	35.816	20.401	26.579
YFR027W	10.892	13.076	10.419
YFR028C	36.087	13.373	11.835
YFR029W	9.062	15.689	22.271
YFR030W	383.813	142.995	146.591
YFR031C	6.066	6.139	5.872
YFR031C-A	1656.349	688.52	665.279
YFR032C-A	7019.934	2758.283	2968.26
YFR033C	157.101	543.51	580.959
YFR034C	54.285	61.298	88.274
YFR035C	44.793	24.844	17.996
YFR036W	29.694	41.455	44.701
YFR037C	79.479	37.647	43.067
YFR038W	13.871	8.75	10.164
YFR039C	17.255	18.168	23.61
YFR040W	21.642	37.306	33.133
YFR041C	41.157	36.908	26.433
YFR042W	37.147	25.078	16.754
YFR043C	10.235	23.093	15.052
YFR044C	305.195	123.008	111.491
YFR045W	13.435	15.999	14.235
YFR046C	5.387	9.801	6.746
YFR047C	63.963	58.939	53.768
YFR048W	11.13	14.383	13.266
YFR049W	131.149	503.052	406.589
YFR050C	195.056	139.716	178.986
YFR051C	117.196	59.067	61.647
YFR052W	185.936	166.419	135.827
YFR053C	366.836	815.781	979.971
YFR055W	9.705	8.69	6.546
YGL001C	93.373	57.263	52.546
YGL002W	22.104	22.165	20.633
YGL003C	10.59	17.648	22.424
YGL004C	16.111	23.523	17.287
YGL005C	19.911	12.591	17.378
YGL006W	17.88	34.805	34.867
YGL008C	2344.919	2056.154	2033.011
YGL009C	372.991	289.679	1561.231
YGL010W	24.88	46.907	45.893
YGL011C	212.744	164.256	148.505
YGL012W	202.737	109.691	105.58
YGL013C	13.58	13.885	12.22
YGL014W	44.785	28.769	34.627
YGL016W	26.8	10.958	10.439
YGL017W	12.906	11.997	8.892
YGL018C	20.062	31.422	21.804
YGL019W	76.417	49.033	43.09
YGL020C	66.871	45.45	39.306
YGL021W	28.948	9.242	10.17
YGL022W	120.176	64.845	77.049
YGL023C	23.704	30.832	39.503
YGL025C	25.152	39.44	35.829
YGL026C	418.919	175.719	251.632
YGL027C	43.859	24.921	25.097
YGL028C	124.842	42.238	47.532
YGL029W	36.867	14.99	23.428
YGL030W	5018.05	1772.028	2042.677
YGL031C	1926.497	1107.554	1118.479
YGL035C	40.395	52.647	56.266
YGL036W	14.452	19.571	24.22
YGL037C	564.806	1540.84	1413.597
YGL038C	43.75	52.382	68.737
YGL039W	38.729	21.076	17.186
YGL040C	136.71	123.546	102.722
YGL041W-A	38.269	38.022	50.842
YGL043W	93.342	63.501	63.82
YGL044C	35.06	46.661	34.024
YGL045W	6.74	27.054	43.84
YGL047W	23.428	12.654	10.681
YGL048C	154.291	127.615	105.86
YGL049C	51.29	31.829	25.363
YGL050W	27.586	8.558	16.794
YGL054C	482.53	336.22	384.264
YGL055W	226.193	844.228	636.275
YGL056C	44.258	105.373	112.634
YGL057C	19.819	38.799	34.948
YGL058W	94.356	95.446	72.169
YGL059W	8.354	24.685	40.206
YGL060W	16.727	11.192	10.614
YGL061C	24.036	25.542	14.848
YGL062W	38.545	93.918	135.856
YGL064C	12.391	11.464	10.092
YGL065C	41.66	33.155	32.039
YGL066W	21.765	31.747	37.532
YGL067W	31.411	19.394	17.807
YGL068W	169.997	91.3	100.708
YGL070C	95.848	33.769	45.531
YGL071W	20.755	44.709	51.994
YGL073W	15.589	21.284	28.616
YGL076C	3722.978	1244.278	1250.324
YGL077C	119.22	51.427	53.099
YGL078C	79.218	35.026	39.247
YGL079W	12.398	19.658	11.243
YGL080W	67.487	139.895	114.497
YGL082W	33.003	25.78	31.85
YGL083W	11.24	5.399	5.237
YGL084C	39.166	25.696	34.835
YGL086W	15.727	12.937	11.544
YGL087C	147.271	216.136	190.407
YGL091C	28.02	50.451	40.855
YGL092W	38.071	21.915	21.781
YGL093W	14.305	11.956	18.153
YGL094C	9.023	8.594	4.955
YGL095C	20.114	28.823	30.062
YGL096W	6.978	57.778	36.795
YGL097W	92.593	40.996	39.172
YGL098W	15.717	23.486	25.598
YGL099W	55.048	25.802	27.366
YGL100W	57.405	41.151	34.751
YGL101W	58.986	21.003	17.782
YGL103W	4435.9	1808.383	1979.276
YGL104C	6.596	10.949	11.158
YGL105W	704.783	250.016	198.86
YGL106W	365.284	187.713	161.802
YGL107C	20.062	13.909	17.25
YGL108C	26.483	20.453	38.867
YGL110C	17.525	20.97	20.951
YGL111W	34.316	16.472	26.356
YGL112C	39.954	25.3	27.366
YGL114W	15.128	16.59	26.15
YGL115W	83.254	40.576	36.299
YGL116W	14.077	5.492	8.01
YGL117W	7.105	49.135	76.589
YGL119W	22.562	14.521	12.895
YGL120C	79.516	15.009	16.64
YGL121C	15.286	361.926	356.036
YGL122C	79.89	89.349	63.71
