Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	EMBL	RefSeq
O61528	unreviewed	O61528_CAEEL	CRAL-TRIO domain-containing protein (Guanine nucleotide exchange factor UNC-73A)	unc-73 CELE_F55C7.7 F55C7.7	Caenorhabditis elegans	2488	AF048834;BX284601;	NP_001021496.1;
O61667	reviewed	EGL1_CAEEL	Programmed cell death activator egl-1 (Egg-laying defective protein 1)	egl-1 F23B12.9	Caenorhabditis elegans	106	AF057309;BX284605;	NP_506575.2;
O61707	reviewed	TAF4_CAEEL	Transcription initiation factor TFIID subunit 4 (TBP-associated transcription factor family member taf-4)	taf-4 taf-5 R119.6	Caenorhabditis elegans	523	BX284601;	NP_490728.2;
O61715	reviewed	INX19_CAEEL	Innexin-19 (Neuronal symmetry protein 5) (Protein opu-19)	inx-19 nsy-5 opu-19 T16H5.1	Caenorhabditis elegans	454	FO081208;FO081208;	NP_490983.2 [O61715-1];NP_871864.1;
O61789	reviewed	EGG5_CAEEL	Inactive protein-tyrosine phosphatase egg-5 (Egg sterile protein 5) (Protein-tyrosine phosphatase-like protein egg-5)	egg-5 R12E2.10	Caenorhabditis elegans	753	BX284601;	NP_491316.1;
O61847	reviewed	CDK2_CAEEL	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2)	cdk-2 K03E5.3	Caenorhabditis elegans	368	BX284601;	NP_001021537.1;
O61866	reviewed	LIPL5_CAEEL	Lipase lipl-5 (EC 3.1.1.-) (Lipase-like 5)	lipl-5 ZK6.7	Caenorhabditis elegans	403	BX284605;BX284605;BX284605;	NP_001300298.1;NP_001300299.1;NP_503184.1 [O61866-1];
O61931	reviewed	ERGO1_CAEEL	Piwi-like protein ergo-1 (Endogenous RNA interference deficient argonaute protein 1)	ergo-1 R09A1.1	Caenorhabditis elegans	1121	BX284605;	NP_503362.2;
O61955	reviewed	IF4E3_CAEEL	Eukaryotic translation initiation factor 4E-3 (eIF-4E-3) (eIF4E-3) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	ife-3 B0348.6	Caenorhabditis elegans	251	BX284605;BX284605;BX284605;	NP_503123.1 [O61955-1];NP_503124.1 [O61955-2];NP_741502.1 [O61955-3];
O61967	reviewed	LAP1_CAEEL	Protein lap1 (Lethal protein 413)	let-413 F26D11.11	Caenorhabditis elegans	699	AJ276590;FO081227;FO081227;	NP_001023850.1;NP_001023851.1 [O61967-1];
O62090	reviewed	PRY1_CAEEL	Axin-like protein pry-1 (Protein polyray)	pry-1 C37A5.9	Caenorhabditis elegans	586	AF468834;Z92828;	NP_493474.2;
O62137	reviewed	ACX12_CAEEL	Acyl-coenzyme A oxidase acox-1.2 (EC 1.3.3.-)	acox-1.2 acox-2 F08A8.2	Caenorhabditis elegans	661	BX284601;	NP_493262.2;
O62138	reviewed	ACX13_CAEEL	Acyl-coenzyme A oxidase acox-1.3 (EC 1.3.3.-)	acox-1.3 acox-3 F08A8.3	Caenorhabditis elegans	660	BX284601;	NP_493263.1;
O62139	reviewed	ACX14_CAEEL	Acyl-coenzyme A oxidase acox-1.4 (EC 1.3.3.-)	acox-1.4 acox-4 F08A8.4	Caenorhabditis elegans	662	BX284601;	NP_493264.1;
O62140	reviewed	ACX11_CAEEL	Acyl-coenzyme A oxidase acox-1.1 (EC 1.3.3.-) (EC 1.3.3.6)	acox-1.1 acox-1 F08A8.1	Caenorhabditis elegans	674	BX284601;BX284601;BX284601;	NP_001021089.1 [O62140-1];NP_001021090.1;NP_001040649.1 [O62140-3];
O62238	reviewed	SYP3_CAEEL	Synaptonemal complex protein 3	syp-3 F39H2.4	Caenorhabditis elegans	224	BX284601;	NP_492345.2;
O62247	reviewed	BLI5_CAEEL	Kunitz-type protein bli-5 (Blistered cuticle protein 5) (Kunitz-type protease inhibitor bli-5)	bli-5 F45G2.5	Caenorhabditis elegans	202	BX284603;	NP_499772.1;
O62255	reviewed	DCP2_CAEEL	m7GpppN-mRNA hydrolase dcap-2 (EC 3.6.1.62) (Nudix hydrolase 5) (mRNA-decapping enzyme 2)	dcap-2 dcp-2 ndx-5 F52G2.1	Caenorhabditis elegans	786	DQ143943;EU760346;BX284604;AL021488;BX284604;AL021488;BX284604;BX284604;	NP_001293937.1 [O62255-3];NP_001293938.1 [O62255-4];NP_502608.3 [O62255-1];NP_502609.2 [O62255-2];
O62275	reviewed	WAGO4_CAEEL	Argonaute protein wago-4 (Worm-specific argonaute protein 4)	wago-4 F58G1.1	Caenorhabditis elegans	965	BX284602;	NP_496751.1;
O62305	reviewed	KCC2D_CAEEL	Calcium/calmodulin-dependent protein kinase type II (CaM kinase II) (EC 2.7.11.17) (Uncoordinated protein 43)	unc-43 K11E8.1	Caenorhabditis elegans	720	AF180735;AF233262;AF233263;AF233264;AF233265;AF233266;AF233267;AF255956;Z70279;Z70279;AL023841;Z70279;AL023841;Z70279;AL023841;Z70279;AL023841;Z70279;AL023841;Z70279;AL023841;Z70279;AL023841;Z70279;AL023841;Z70279;AL023841;Z70279;Z70279;Z70279;Z70279;	NP_001023293.2 [O62305-2];NP_001023294.1;NP_001023296.1;NP_001023297.1;NP_001023298.1 [O62305-6];NP_001023299.1;NP_001023300.1;NP_001023301.1;NP_001023302.1;NP_001023303.1;NP_001023304.1 [O62305-12];NP_001122788.1 [O62305-13];NP_001122789.1 [O62305-14];NP_001129863.1 [O62305-15];
O62415	reviewed	LYS1_CAEEL	Lysozyme-like protein 1	lys-1 Y22F5A.4	Caenorhabditis elegans	298	BX284605;	NP_505642.1;
O62471	reviewed	QUI1_CAEEL	Protein qui-1 (Quinine non-avoider protein 1)	qui-1 Y45F10B.10	Caenorhabditis elegans	1592	BX284604;BX284604;BX284604;	NP_001263809.1 [O62471-2];NP_001294084.1 [O62471-3];NP_502613.2 [O62471-1];
O62479	reviewed	SAS6_CAEEL	Spindle assembly abnormal protein 6	sas-6 Y45F10D.9	Caenorhabditis elegans	492	AL021492;	NP_502660.1;
O76337	reviewed	CED6_CAEEL	Cell death protein 6 (Candidate adapter protein ced-6)	ced-6 F56D2.7	Caenorhabditis elegans	492	AF061513;BX284603;	NP_498203.2;
O76357	reviewed	ILYS3_CAEEL	Invertebrate-type lysozyme 3 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase)	ilys-3 C45G7.3	Caenorhabditis elegans	139	BX284604;	NP_500206.1;
O76360	reviewed	EGL4_CAEEL	cGMP-dependent protein kinase egl-4 (EC 2.7.11.12) (Egg-laying defective protein 4)	egl-4 cgk-1 odr-9 F55A8.2	Caenorhabditis elegans	780	FO081473;FO081473;FO081473;FO081473;FO081473;FO081473;	NP_001023223.1 [O76360-5];NP_001023224.1 [O76360-6];NP_500141.1 [O76360-1];NP_500142.1 [O76360-2];NP_741329.1 [O76360-3];NP_741330.2 [O76360-4];
O76365	reviewed	CTU1_CAEEL	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (Cytoplasmic tRNA adenylyltransferase 1) (Thiolation of uridine in tRNA protein 1)	tut-1 ctu-1 F29C4.6	Caenorhabditis elegans	373	FO080227;	NP_499865.1;
O76373	reviewed	CBPC1_CAEEL	Cytosolic carboxypeptidase 1 (EC 3.4.17.-)	ccpp-1 F56H1.5	Caenorhabditis elegans	1015	BX284601;	NP_491674.2;
O76411	reviewed	SCD2_CAEEL	ALK tyrosine kinase receptor homolog scd-2 (EC 2.7.10.1) (Suppressor of constitutive dauer formation protein 2)	scd-2 T10H9.2	Caenorhabditis elegans	1421	BX284605;	NP_504685.3;
O76512	reviewed	RENT1_CAEEL	Regulator of nonsense transcripts 1 (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent helicase smg-2) (Nonsense mRNA reducing factor 1) (Up-frameshift suppressor 1 homolog)	smg-2 Y48G8AL.6	Caenorhabditis elegans	1069	AF074017;FO081800;	NP_490829.1;
O76584	reviewed	GPA11_CAEEL	Guanine nucleotide-binding protein alpha-11 subunit	gpa-11 C16A11.1	Caenorhabditis elegans	363	AY008133;FO080260;FO080260;	NP_001254088.1 [O76584-2];NP_001254089.1 [O76584-1];
O76616	reviewed	PID3_CAEEL	Protein pid-3 (piRNA biogenesis and chromosome segregation protein 1) (piRNA-induced silencing defective protein 3)	pid-3 pics-1 Y23H5A.3	Caenorhabditis elegans	307	BX284601;	NP_491011.1;
O76689	reviewed	SNF6_CAEEL	Sodium-dependent acetylcholine transporter (Sodium:neurotransmitter symporter family protein 6)	snf-6 M01G5.5	Caenorhabditis elegans	714	AY661556;BX284603;	NP_497416.4;
O76743	reviewed	GLH4_CAEEL	ATP-dependent RNA helicase glh-4 (EC 3.6.4.13) (Germline helicase 4)	glh-4 T12F5.3	Caenorhabditis elegans	1156	AF079508;FO081191;	NP_491207.3;
O76840	reviewed	PPN1_CAEEL	Papilin (Abnormal cell migration protein 6)	mig-6 ppn-1 C37C3.6	Caenorhabditis elegans	2167	FO080808;FO080808;FO080808;	NP_505017.1 [O76840-1];NP_505018.1;NP_741569.1 [O76840-3];
O77081	reviewed	TPSTA_CAEEL	Protein-tyrosine sulfotransferase A (EC 2.8.2.20) (Tyrosylprotein sulfotransferase A) (TPST-A)	tpst-1 Y111B2A.15	Caenorhabditis elegans	380	AF049709;BX284603;	NP_499646.3;
O77469	reviewed	FBLN1_CAEEL	Fibulin-1	fbl-1 fbln1 F56H11.1	Caenorhabditis elegans	728	AB212860;AY851363;AF051401;AF051402;AF051403;AF051403;AF070477;Z68749;Z68219;Z68749;Z68219;Z68749;Z68219;	NP_001023236.1 [O77469-2];NP_001023237.1 [O77469-3];NP_501694.2 [O77469-1];
P02566	reviewed	MYO4_CAEEL	Myosin-4 (Myosin heavy chain B) (MHC B) (Uncoordinated protein 54)	unc-54 myo-4 F11C3.3	Caenorhabditis elegans	1963	J01050;Z81499;Z83107;V01494;	NP_493596.1;
P02567	reviewed	MYO1_CAEEL	Myosin-1 (Myosin heavy chain D) (MHC D)	myo-1 R06C7.10	Caenorhabditis elegans	1938	X08065;Z71266;Z71261;M37232;M37234;	NP_492053.1;
P03949	reviewed	ABL1_CAEEL	Tyrosine-protein kinase abl-1 (EC 2.7.10.2)	abl-1 M79.1	Caenorhabditis elegans	1224	Z50806;Z50806;Z50806;M13235;	NP_509777.2 [P03949-2];NP_509778.2 [P03949-1];NP_509779.2 [P03949-3];
P04255	reviewed	H2B1_CAEEL	Histone H2B 1	his-11 ZK131.5; his-15 ZK131.9; his-29 F35H10.11; his-34 F17E9.9; his-44 F08G2.1	Caenorhabditis elegans	122	X15633;FO081169;Z81495;Z83245;Z83245;FO081018;	NP_496888.1;NP_496892.1;NP_496897.1;NP_501403.1;NP_501409.1;
P05690	reviewed	VIT2_CAEEL	Vitellogenin-2	vit-2 C42D8.2	Caenorhabditis elegans	1613	X56212;FO080659;M10105;X02753;	NP_508868.1;
P08124	reviewed	COL1_CAEEL	Cuticle collagen 1 (Protein dumpy-15) (Protein squat-3)	sqt-3 col-1 dpy-15 F23H12.4	Caenorhabditis elegans	301	V00147;J01047;Z74472;	NP_001256412.1;
P08898	reviewed	H3_CAEEL	Histone H3	his-2 T10C6.13; his-6 F45F2.13; his-9 ZK131.3; his-13 ZK131.7; his-17 K06C4.5; his-25 ZK131.2; his-27 K06C4.13; his-32 F17E9.10; his-42 F08G2.3; his-45 B0035.10; his-49 F07B7.5; his-55 F54E12.1; his-59 F55G1.2; his-63 F22B3.2	Caenorhabditis elegans	136	X15634;FO081018;FO081059;FO081135;FO081223;FO081551;FO081551;Z68336;Z73102;Z81495;Z82271;Z83245;Z83245;Z83245;Z93388;AF304122;	NP_001263958.1;NP_496890.1;NP_496894.1;NP_496895.1;NP_496899.1;NP_501204.1;NP_501407.1;NP_502134.1;NP_502138.1;NP_502153.1;NP_505199.1;NP_505276.1;NP_505292.1;NP_505297.1;NP_507033.1;
P09088	reviewed	MEC3_CAEEL	Mechanosensory protein 3	mec-3 F01D4.6	Caenorhabditis elegans	321	L02877;M20244;Z81054;BX284604;	NP_001023111.1 [P09088-1];NP_001129852.1 [P09088-3];
P09446	reviewed	HSP1_CAEEL	Heat shock protein hsp-1 (Heat shock 70 kDa protein A)	hsp-1 hsp70a F26D10.3	Caenorhabditis elegans	640	M18540;BX284604;	NP_503068.1;
P09588	reviewed	H2A_CAEEL	Histone H2A	his-3 T10C6.12; his-7 F45F2.4; his-12 ZK131.6; his-16 ZK131.10; his-19 K06C4.11; his-21 K06C4.3; his-30 F35H10.1; his-33 F17E9.13; his-43 F08G2.2; his-47 B0035.7; his-51 F07B7.10; his-53 F07B7.3; his-57 F54E12.5; his-61 F55G1.10; his-65 H02I12.7; his-68 T23D8.6	Caenorhabditis elegans	127	X15633;FO081169;FO081135;FO081551;FO081551;FO081223;Z73102;Z81128;Z81495;Z82271;Z83245;Z83245;Z92789;Z93388;FO081059;FO081059;FO081018;	NP_492642.1;NP_496887.1;NP_496891.1;NP_496898.1;NP_501201.1;NP_501404.1;NP_501408.1;NP_502131.1;NP_502141.1;NP_502150.1;NP_505198.1;NP_505277.1;NP_505280.1;NP_505293.1;NP_505296.1;NP_507032.1;
P10038	reviewed	MAB5_CAEEL	Homeobox protein mab-5 (Protein male abnormal 5)	mab-5 C08C3.3	Caenorhabditis elegans	200	M22751;AF277990;FO080429;	NP_498695.1;
P10299	reviewed	GSTP1_CAEEL	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi)	gst-1 R107.7	Caenorhabditis elegans	208	X13689;Z14092;	NP_499006.1;
P10567	reviewed	MYSP_CAEEL	Paramyosin (Uncoordinated protein 15)	unc-15 F07A5.7	Caenorhabditis elegans	872	X08068;Z72506;Z79694;BX284601;	NP_001129763.1;NP_492085.1;
P10771	reviewed	H24_CAEEL	Histone 24 (Histone H1.1)	his-24 H1.1 HH1 M163.3	Caenorhabditis elegans	208	X53277;AF017810;BX284606;	NP_510410.1;
P10984	reviewed	ACT2_CAEEL	Actin-2 (EC 3.6.4.-)	act-2 T04C12.5	Caenorhabditis elegans	376	X16797;Z81584;J01043;	NP_505818.1;
P12456	reviewed	TBB1_CAEEL	Tubulin beta-1 chain (Beta-1-tubulin)	mec-7 ZK154.3	Caenorhabditis elegans	441	X15242;FO080892;	NP_509313.1;
P12844	reviewed	MYO3_CAEEL	Myosin-3 (Myosin heavy chain A) (MHC A)	myo-3 mhcA K12F2.1	Caenorhabditis elegans	1969	X08067;Z78199;	NP_506065.2;
P12845	reviewed	MYO2_CAEEL	Myosin-2 (Myosin heavy chain C) (MHC C)	myo-2 T18D3.4	Caenorhabditis elegans	1947	X08066;Z68119;Z68117;M37233;M37235;M37236;	NP_510092.2;
P13508	reviewed	GLP1_CAEEL	Protein glp-1 [Cleaved into: glp-1/Notch intracellular domain]	glp-1 emb-33 F02A9.6	Caenorhabditis elegans	1295	M25580;BX284603;Z29116;	NP_499014.1;
P13528	reviewed	UNC86_CAEEL	Transcription factor unc-86 (Uncoordinated protein 86)	unc-86 C30A5.7	Caenorhabditis elegans	357	M22363;M22363;BX284603;BX284603;	NP_001021191.2 [P13528-1];NP_001309473.1 [P13528-2];
P14585	reviewed	LIN12_CAEEL	Protein lin-12 (Abnormal cell lineage protein 12) (Notch-like protein lin-12) [Cleaved into: lin-12/Notch intracellular domain]	lin-12 R107.8	Caenorhabditis elegans	1429	M12069;BX284603;	NP_499007.1;
P16356	reviewed	RPB1_CAEEL	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit)	ama-1 rpb-1 F36A4.7	Caenorhabditis elegans	1856	M29235;BX284604;	NP_500523.4;
P17139	reviewed	CO4A1_CAEEL	Collagen alpha-1(IV) chain	emb-9 clb-2 K04H4.1	Caenorhabditis elegans	1759	X56979;BX284603;BX284603;J05067;	NP_001022662.2 [P17139-1];NP_001022663.1 [P17139-2];
P17140	reviewed	CO4A2_CAEEL	Collagen alpha-2(IV) chain (Lethal protein 2)	let-2 clb-1 F01G12.5	Caenorhabditis elegans	1758	Z22964;Z22964;U22327;BX284606;BX284606;J05066;	NP_510663.1;NP_510664.1;
P17221	reviewed	FEM1_CAEEL	Sex-determining protein fem-1 (Feminization of XX and XO animals protein 1)	fem-1 isx-1 F35D6.1	Caenorhabditis elegans	656	J03172;FO080146;FO080146;	NP_500824.1 [P17221-1];NP_500825.1;
P17486	reviewed	EGL5_CAEEL	Homeobox protein egl-5 (Abdominal-B homolog egl-5) (Egg-laying defective protein 5) (Homeobox protein ceh-11)	egl-5 ceh-11 C08C3.1	Caenorhabditis elegans	223	L19247;BX284603;BX284603;BX284603;X17075;	NP_001021166.1 [P17486-1];NP_001021167.1 [P17486-3];NP_498697.3 [P17486-2];
P18334	reviewed	CSK2A_CAEEL	Casein kinase II subunit alpha (CK II subunit alpha) (EC 2.7.11.1)	kin-3 B0205.7	Caenorhabditis elegans	360	J05274;FO080112;	NP_492811.1;
P18948	reviewed	VIT6_CAEEL	Vitellogenin-6	vit-6 K07H8.6	Caenorhabditis elegans	1651	X56213;FO081300;FO081300;FO081300;M11499;X02756;	NP_001023274.1 [P18948-2];NP_001023275.1;NP_001023276.1 [P18948-1];
P19826	reviewed	VINC_CAEEL	Vinculin (P107B)	deb-1 ZC477.9	Caenorhabditis elegans	1090	J04804;BX284604;BX284604;BX284604;BX284604;BX284604;BX284604;BX284604;BX284604;	NP_001293743.1 [P19826-1];NP_001293744.1 [P19826-5];NP_001293745.1 [P19826-6];NP_001293746.1;NP_001293747.1;NP_501104.2 [P19826-2];NP_501105.2 [P19826-3];NP_741437.1 [P19826-4];
P19974	reviewed	CYC21_CAEEL	Cytochrome c 2.1	cyc-2.1 E04A4.7	Caenorhabditis elegans	111	FO081039;	NP_500629.1;
P20154	reviewed	LIN11_CAEEL	Protein lin-11 (Abnormal cell lineage protein 11)	lin-11 ZC247.3	Caenorhabditis elegans	405	Z80221;X54355;	NP_492696.1;
P20163	reviewed	BIBH_CAEEL	Endoplasmic reticulum chaperone BiP homolog (Heat shock 70 kDa protein D) (EC 3.6.4.10)	hsp-4 hsp70d F43E2.8	Caenorhabditis elegans	657	FO080417;M28528;	NP_495536.1;
P20268	reviewed	HM06_CAEEL	Homeobox protein ceh-6	ceh-6 K02B12.1	Caenorhabditis elegans	380	AF286377;BX284601;	NP_492304.1;
P20271	reviewed	HM14_CAEEL	LIM/homeobox protein ceh-14 (Homeobox protein ceh-14)	ceh-14 F46C8.5	Caenorhabditis elegans	351	AF244368;BX284606;	NP_509273.1;
P20792	reviewed	DAF1_CAEEL	Cell surface receptor daf-1 (EC 2.7.11.30) (Abnormal dauer formation protein 1)	daf-1 F29C4.1	Caenorhabditis elegans	669	M32877;FO080227;FO080227;	NP_001023159.1 [P20792-1];NP_001023160.1 [P20792-2];
P21137	reviewed	KAPC1_CAEEL	cAMP-dependent protein kinase catalytic subunit (PKA C) (EC 2.7.11.11)	kin-1 ZK909.2	Caenorhabditis elegans	404	M37119;M37114;M37115;M37116;M37117;M37118;Z82096;Z82096;Z82096;Z82096;Z81511;Z82096;Z81511;Z82096;Z81511;Z82096;Z81511;Z82096;Z81511;Z82096;Z81511;Z82096;Z81511;Z82096;Z81511;Z82096;Z81511;Z82096;Z81511;AJ011936;AJ011937;AJ011938;AJ012354;AJ012355;AJ012356;	NP_493605.1 [P21137-2];NP_493606.1;NP_740954.1 [P21137-8];NP_740955.1;NP_740956.1 [P21137-7];NP_740957.1;NP_740958.1 [P21137-6];NP_740959.1;NP_740960.1 [P21137-12];NP_740961.1 [P21137-1];NP_740962.1 [P21137-13];NP_740963.1;NP_740964.1;
P21541	reviewed	ZYG11_CAEEL	Early embryogenesis protein zyg-11	zyg-11 C08B11.1	Caenorhabditis elegans	799	X16473;Z46676;	NP_495677.1;
P22454	reviewed	GPA2_CAEEL	Guanine nucleotide-binding protein alpha-2 subunit	gpa-2 F38E1.5	Caenorhabditis elegans	356	X53156;AY008125;FO080433;	NP_505157.1;
P22980	reviewed	MYOD1_CAEEL	Myoblast determination protein 1 homolog (MyoD protein 1) (Helix-loop-helix protein 1)	hlh-1 B0304.1	Caenorhabditis elegans	324	M59940;M59940;FO080166;FO080166;FO080166;	NP_001021892.1 [P22980-1];NP_001021893.1 [P22980-3];NP_494798.4;
P22981	reviewed	LET60_CAEEL	Ras protein let-60 (Abnormal cell lineage protein 34) (Lethal protein 60)	let-60 lin-34 ZK792.6	Caenorhabditis elegans	184	M55535;BX284604;	NP_502213.3;
P23678	reviewed	UN104_CAEEL	Kinesin-like protein unc-104 (Uncoordinated protein 104)	unc-104 C52E12.2	Caenorhabditis elegans	1584	M58582;BX284602;BX284602;	NP_001022041.2 [P23678-2];NP_741019.3 [P23678-1];
P24348	reviewed	LET23_CAEEL	Receptor tyrosine-protein kinase let-23 (EC 2.7.10.1) (Lethal protein 23)	let-23 kin-7 ZK1067.1	Caenorhabditis elegans	1323	X57767;D63426;BX284602;	NP_495962.2;
P24349	reviewed	SDC1_CAEEL	Zinc finger protein sdc-1 (Egg-laying defective protein 16)	sdc-1 egl-16 F52E10.1	Caenorhabditis elegans	1201	X58520;Z54282;	NP_510650.2;
P24612	reviewed	MEC4_CAEEL	Degenerin mec-4 (Mechanosensory abnormality protein 4)	mec-4 mec-13 T01C8.7	Caenorhabditis elegans	768	U53669;BX284606;X58982;	NP_510712.2;
P27715	reviewed	UNC13_CAEEL	Phorbol ester/diacylglycerol-binding protein unc-13 (Uncoordinated protein 13)	unc-13 ZK524.2	Caenorhabditis elegans	2155	M62830;U50735;U50735;Z73912;Z79694;Z92779;Z73912;Z92779;Z73912;Z79694;Z92779;Z73912;Z79694;Z92779;	NP_001021871.1 [P27715-1];NP_001021872.1;NP_001021873.1 [P27715-6];NP_001021874.1 [P27715-7];
P27798	reviewed	CALR_CAEEL	Calreticulin	crt-1 Y38A10A.5	Caenorhabditis elegans	395	X59589;BX284605;	NP_504575.1;
P28052	reviewed	GPA3_CAEEL	Guanine nucleotide-binding protein alpha-3 subunit	gpa-3 E02C12.5	Caenorhabditis elegans	353	M38250;AY008126;BX284605;	NP_001309498.1;
P28515	reviewed	ELT1_CAEEL	Transcription factor elt-1	elt-1 W09C2.1	Caenorhabditis elegans	416	X57834;BX284604;	NP_001033436.1;
P28548	reviewed	CSK2B_CAEEL	Casein kinase II subunit beta (CK II beta)	kin-10 kin-5 T01G9.6	Caenorhabditis elegans	234	M73827;Z75713;Z75713;	NP_492254.1;NP_492255.1;
P29355	reviewed	SEM5_CAEEL	Sex muscle abnormal protein 5	sem-5 C14F5.5	Caenorhabditis elegans	228	S88446;FO080456;	NP_509342.1;
P29506	reviewed	UNC4_CAEEL	Homeobox protein unc-4 (Homeobox protein ceh-4) (Uncoordinated protein 4)	unc-4 ceh-4 F26C11.2	Caenorhabditis elegans	252	Z47072;X64904;	NP_496138.1;
P29691	reviewed	EF2_CAEEL	Elongation factor 2 (EF-2) (EC 3.6.5.-)	eef-2 F25H5.4	Caenorhabditis elegans	852	M86959;Z81068;Z81068;	NP_001251010.1;NP_001251011.1;
P30429	reviewed	CED4_CAEEL	Cell death protein 4	ced-4 C35D10.9	Caenorhabditis elegans	571	X69016;BX284603;BX284603;	NP_001021202.1 [P30429-2];NP_001021203.1 [P30429-1];
P30625	reviewed	KAPR_CAEEL	cAMP-dependent protein kinase regulatory subunit	kin-2 kin-a R07E4.6	Caenorhabditis elegans	366	J05220;FO080885;FO080885;FO080885;	NP_001024842.1 [P30625-2];NP_001076771.1 [P30625-3];NP_508999.2;
P30628	reviewed	VPP1_CAEEL	V-type proton ATPase 116 kDa subunit a 1 (V-ATPase 116 kDa isoform a 1) (Uncoordinated protein 32) (Vacuolar proton translocating ATPase 116 kDa subunit a 1)	unc-32 ZK637.8	Caenorhabditis elegans	905	AF320899;AF320900;AF320901;AF320902;AF320903;AF320904;BX284603;BX284603;BX284603;BX284603;BX284603;BX284603;	NP_001023017.1 [P30628-1];NP_001023018.1 [P30628-2];NP_001023019.1 [P30628-3];NP_001023020.1 [P30628-4];NP_001023021.1 [P30628-5];NP_001023022.1 [P30628-6];
P30630	reviewed	LIN9_CAEEL	Protein lin-9 (Abnormal cell lineage protein 9)	lin-9 ZK637.7	Caenorhabditis elegans	644	AF269693;AF269694;BX284603;BX284603;	NP_001023015.1 [P30630-2];NP_001023016.1 [P30630-1];
P30645	reviewed	PDE2_CAEEL	Probable 3',5'-cyclic phosphodiesterase pde-2 (EC 3.1.4.17)	pde-2 R08D7.6	Caenorhabditis elegans	831	Z12017;Z12017;	NP_001022705.2 [P30645-1];NP_001022706.2 [P30645-3];
P32085	reviewed	TBP_CAEEL	TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (CeTBP) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	tbp-1 tbp T20B12.2	Caenorhabditis elegans	340	L07754;FO081094;AF303249;	NP_498635.1;
P32742	reviewed	IKKE1_CAEEL	Inhibitor of nuclear factor kappa-B kinase epsilon subunit homolog 1 (EC 2.7.11.1)	ikke-1 R107.4	Caenorhabditis elegans	820	BX284603;BX284603;BX284603;BX284603;	NP_001022708.1;NP_499002.2;NP_871627.1 [P32742-1];NP_871628.1 [P32742-3];
P32744	reviewed	CLAS2_CAEEL	Protein CLASP-2	cls-2 R107.6	Caenorhabditis elegans	1020	Z14092;	NP_499005.2;
P32756	reviewed	CLAT_CAEEL	Choline O-acetyltransferase (CHOACTase) (ChAT) (Choline acetylase) (EC 2.3.1.6)	cha-1 ZC416.8	Caenorhabditis elegans	627	L08969;L08970;FO080977;	NP_001023603.1;
P34183	reviewed	SYH_CAEEL	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hars-1 hrs-1 syh-1 T11G6.1	Caenorhabditis elegans	521	L13152;S68230;Z69384;Z69384;	NP_001023373.2 [P34183-2];NP_001023374.1 [P34183-1];
P34213	reviewed	RAB6A_CAEEL	Ras-related protein rab-6.1	rab-6.1 F59B2.7	Caenorhabditis elegans	205	BX284603;	NP_498993.1;
P34260	reviewed	VP33A_CAEEL	Vacuolar protein sorting-associated protein 33A (Protein slp-1)	vps-33.1 slp-1 B0303.9	Caenorhabditis elegans	603	FO080163;	NP_498920.2;
P34271	reviewed	CUP4_CAEEL	Acetylcholine receptor-like protein cup-4 (Coelomocyte uptake defective protein 4)	cup-4 C02C2.3	Caenorhabditis elegans	433	AY611497;FO080276;	NP_498710.2;
P34273	reviewed	IYD1H_CAEEL	Iodotyrosine dehalogenase 1 homolog (IYD-1) (EC 1.21.1.-)	sup-18 C02C2.5	Caenorhabditis elegans	325	JX978835;FO080276;	NP_498712.3;
P34278	reviewed	KNL1_CAEEL	Kinetochore null protein 1	knl-1 C02F5.1	Caenorhabditis elegans	1010	FO080288;	NP_498811.1;
P34283	reviewed	HENMT_CAEEL	Small RNA 2'-O-methyltransferase (EC 2.1.1.386) (HEN1 methyltransferase homolog)	henn-1 C02F5.6	Caenorhabditis elegans	442	BX284603;	NP_001309472.1;
P34284	reviewed	FBXL_CAEEL	F-box/LRR-repeat protein fbxl-1 (F-box and leucine-rich repeat protein 1)	fbxl-1 cfl-1 C02F5.7	Caenorhabditis elegans	466	BX284603;BX284603;	NP_741248.1 [P34284-1];NP_741249.1;
P34288	reviewed	PAC1_CAEEL	GTPase-activating protein pac-1 (GTPase-activating protein GAP) (CeGAP) (Protein par-6-at-contacts)	pac-1 gap C04D8.1	Caenorhabditis elegans	1605	EU752496;FO080326;FO080326;U02289;	NP_001129833.1 [P34288-2];NP_498877.4 [P34288-1];
P34298	reviewed	DOXA1_CAEEL	Dual oxidase maturation factor 1	doxa-1 C06E1.3	Caenorhabditis elegans	397	FO080280;	NP_498886.2;
